name,address,lat,lon,note,google_maps_url,feature_id,kg_id,added_by,list_title,list_id,emoji,category,status,source_lists,source_list_ids,tourism_tier,drop_reason
Tignes,"73320 Tignes, France",45.470698,6.9081303,"Skiing.  Val d ser, and Val Thoren",https://www.google.com/maps?ftid=0x47890c63287d7ebb:0x408ab2ae4baa8b0,0x47890c63287d7ebb:0x408ab2ae4baa8b0,/m/05g8rz,Zach J.,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,📍,place,want_to_go,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,vibe,
Tokyo Dome City,,35.704369299999996,139.75425099999998,,https://www.google.com/maps?ftid=0x60188c38bbfa1709:0x44298a802542c472,0x60188c38bbfa1709:0x44298a802542c472,,Zach J.,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,📍,place,want_to_go,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,vibe,
Toubkal,,31.060071899999997,-7.9147482,,https://www.google.com/maps?ftid=0xdb00cfde4f96ed1:0x7934f4c42445d7f9,0xdb00cfde4f96ed1:0x7934f4c42445d7f9,,Zach J.,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,📍,place,want_to_go,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,vibe,
Toyokan Bowl,,49.2705445,-123.1477321,,https://www.google.com/maps?ftid=0x548673003542bc15:0x75ab1abc7c2280f9,0x548673003542bc15:0x75ab1abc7c2280f9,,Zach J.,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,📍,place,want_to_go,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,vibe,
Trinity Site,"New Mexico 87102, United States",33.677333,-106.4754025,,https://www.google.com/maps?ftid=0x871ff438236092fb:0x1ae8f5bfe12a526d,0x871ff438236092fb:0x1ae8f5bfe12a526d,/m/06_2q0q,Zach J.,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,📍,place,want_to_go,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,vibe,
Tropical Islands,"Tropical-Islands-Allee 1, 15910 Krausnick, Germany",52.038993,13.748653,Massive Water park,https://www.google.com/maps?ftid=0x47a804edb23f5915:0x20148692752fbd91,0x47a804edb23f5915:0x20148692752fbd91,/m/066tl8,Zach J.,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,📍,place,want_to_go,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,vibe,
Truth or Consequences,"Truth or Consequences, NM, USA",33.1284047,-107.2528069,,https://www.google.com/maps?ftid=0x86df822e517366db:0xa0256938d20946,0x86df822e517366db:0xa0256938d20946,/m/0xwm0,Zach J.,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,📍,place,want_to_go,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,vibe,
Tulum,"Zona Hotelera Tulum, 77765 Tulum, Quintana Roo, Mexico",20.2149504,-87.4294212,,https://www.google.com/maps?ftid=0x8f4fd17d16293265:0xff68d6fca492c963,0x8f4fd17d16293265:0xff68d6fca492c963,/m/01zsw8,Zach J.,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,📍,place,want_to_go,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,vibe,
Tung Choi St,Mong Kok,22.3210731,114.1701978,,https://www.google.com/maps?ftid=0x340400c8643dd6bd:0x6a2c0621daaea280,0x340400c8643dd6bd:0x6a2c0621daaea280,/m/0b6724,Zach J.,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,📍,place,want_to_go,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,vibe,
Twemco Industries Limited,,22.3225977,114.16376509999999,Buy a flip clock.,https://www.google.com/maps?ftid=0x340400b71479eb79:0xd074f3c6965f3fef,0x340400b71479eb79:0xd074f3c6965f3fef,,Zach J.,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,📍,place,want_to_go,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,vibe,
